body_forms,body_html,body_noCharacters,body_noDistinctWords,body_noFunctionWords,body_noWords,body_richness,body_suspension,body_verifyYourAccount,send_diffSenderReplyTo,send_noCharacters,send_noWords,send_nonModalSenderDomain,subj_bank,subj_noCharacters,subj_noWords,subj_reply,subj_richness,url_atSymbol,url_linkText,url_maxNoPeriods,url_noDomains,url_noExtLinks,url_noImgLinks,url_noIntLinks,url_noIpAddresses,url_noLinks,url_noPorts,url_nonModalHereLinks,url_ports,label
TRUE,TRUE,6204,392,10,707,0.113958736,FALSE,FALSE,FALSE,6,1,TRUE,FALSE,6,1,FALSE,0.166666667,FALSE,FALSE,3,6,5,1,3,0,8,0,FALSE,FALSE,H
FALSE,TRUE,8292,348,41,699,0.084298119,TRUE,FALSE,FALSE,38,3,TRUE,FALSE,33,5,FALSE,0.151515152,FALSE,TRUE,5,11,13,5,0,0,13,0,TRUE,FALSE,H
FALSE,TRUE,13733,578,24,1064,0.077477609,FALSE,FALSE,FALSE,24,2,TRUE,FALSE,40,10,FALSE,0.25,TRUE,FALSE,4,10,23,11,11,0,34,0,FALSE,FALSE,H
FALSE,TRUE,606,33,2,40,0.066006601,FALSE,FALSE,FALSE,45,2,TRUE,FALSE,26,5,FALSE,0.192307692,FALSE,FALSE,2,3,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,TRUE,2411,152,4,205,0.08502696,FALSE,FALSE,FALSE,44,4,TRUE,FALSE,0,0,FALSE,0,FALSE,TRUE,2,4,3,0,1,0,4,0,FALSE,FALSE,H
FALSE,TRUE,288,17,2,23,0.079861111,FALSE,FALSE,FALSE,43,2,TRUE,FALSE,26,5,FALSE,0.192307692,FALSE,TRUE,4,3,1,0,2,1,3,1,FALSE,TRUE,H
FALSE,TRUE,1399,107,17,184,0.131522516,TRUE,FALSE,FALSE,25,2,TRUE,FALSE,28,4,FALSE,0.142857143,FALSE,TRUE,1,4,2,1,1,0,3,0,TRUE,FALSE,H
FALSE,TRUE,816,71,2,116,0.142156863,FALSE,FALSE,FALSE,43,3,TRUE,FALSE,17,2,FALSE,0.117647059,FALSE,TRUE,2,4,2,1,1,0,3,0,FALSE,FALSE,H
FALSE,FALSE,59069,768,0,768,0.013001744,FALSE,FALSE,FALSE,40,2,FALSE,FALSE,45,6,FALSE,0.133333333,FALSE,FALSE,0,2,0,0,0,0,0,0,FALSE,FALSE,H
FALSE,TRUE,1947,168,4,284,0.145865434,FALSE,FALSE,FALSE,26,3,FALSE,FALSE,56,8,FALSE,0.142857143,FALSE,FALSE,0,2,0,0,1,0,1,0,FALSE,FALSE,H
FALSE,TRUE,3820,141,7,248,0.064921466,FALSE,FALSE,FALSE,40,2,TRUE,FALSE,8,2,FALSE,0.25,FALSE,FALSE,5,7,7,2,5,0,12,0,FALSE,FALSE,H
FALSE,TRUE,311,14,0,16,0.051446945,FALSE,FALSE,FALSE,38,2,TRUE,FALSE,21,2,FALSE,0.095238095,FALSE,FALSE,4,2,2,1,0,0,2,0,FALSE,FALSE,H
FALSE,TRUE,614,41,4,56,0.091205212,FALSE,FALSE,FALSE,31,3,TRUE,FALSE,24,3,FALSE,0.125,FALSE,TRUE,2,3,1,0,0,0,1,0,FALSE,FALSE,H
FALSE,TRUE,1808,108,8,183,0.101216814,FALSE,FALSE,FALSE,41,3,TRUE,FALSE,25,3,FALSE,0.12,FALSE,TRUE,2,4,2,0,1,0,3,0,FALSE,FALSE,H
FALSE,TRUE,3722,230,7,345,0.092692101,FALSE,FALSE,FALSE,14,2,TRUE,FALSE,41,8,FALSE,0.195121951,FALSE,FALSE,0,2,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,TRUE,3651,184,6,307,0.084086552,FALSE,FALSE,TRUE,34,3,TRUE,FALSE,13,2,FALSE,0.153846154,FALSE,FALSE,3,5,3,0,0,0,3,1,FALSE,TRUE,H
FALSE,TRUE,70694,1199,0,1239,0.01752624,FALSE,FALSE,FALSE,36,2,TRUE,FALSE,30,4,FALSE,0.133333333,FALSE,FALSE,3,3,1,1,0,0,1,0,FALSE,FALSE,H
FALSE,TRUE,2679,150,2,284,0.106009705,FALSE,FALSE,FALSE,71,3,TRUE,FALSE,24,3,FALSE,0.125,FALSE,FALSE,1,3,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,TRUE,21787,343,7,1392,0.063891311,FALSE,FALSE,FALSE,30,3,TRUE,FALSE,19,2,FALSE,0.105263158,FALSE,TRUE,3,6,57,38,1,0,58,0,FALSE,FALSE,H
FALSE,FALSE,170,25,2,31,0.182352941,FALSE,FALSE,FALSE,32,3,TRUE,FALSE,14,2,FALSE,0.142857143,FALSE,FALSE,2,3,1,0,0,0,1,0,FALSE,FALSE,H
FALSE,TRUE,332,43,2,47,0.141566265,FALSE,FALSE,FALSE,31,1,TRUE,FALSE,34,7,FALSE,0.205882353,FALSE,FALSE,2,4,2,0,0,0,2,0,FALSE,FALSE,H
FALSE,TRUE,12903,511,43,1251,0.096954197,FALSE,FALSE,FALSE,49,2,TRUE,FALSE,38,5,FALSE,0.131578947,FALSE,FALSE,4,7,23,12,8,0,31,0,FALSE,FALSE,H
FALSE,TRUE,2952,219,14,333,0.112804878,FALSE,FALSE,FALSE,13,2,TRUE,FALSE,69,11,FALSE,0.15942029,FALSE,FALSE,0,3,2,0,2,0,4,0,FALSE,FALSE,H
FALSE,TRUE,804,67,11,108,0.134328358,FALSE,FALSE,FALSE,46,5,TRUE,FALSE,21,3,FALSE,0.142857143,FALSE,FALSE,1,3,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,TRUE,5463,233,4,357,0.06534871,TRUE,FALSE,FALSE,51,5,FALSE,FALSE,15,1,FALSE,0.066666667,FALSE,TRUE,3,4,4,1,3,0,7,0,FALSE,FALSE,H
FALSE,FALSE,338,55,0,57,0.168639053,TRUE,FALSE,FALSE,10,2,TRUE,FALSE,11,1,FALSE,0.090909091,FALSE,FALSE,2,2,1,0,0,0,1,0,FALSE,FALSE,H
FALSE,TRUE,1736,124,6,187,0.107718894,FALSE,FALSE,TRUE,36,4,TRUE,FALSE,41,7,FALSE,0.170731707,FALSE,FALSE,3,5,5,1,3,0,8,0,FALSE,FALSE,H
FALSE,FALSE,2353,33,0,33,0.014024649,FALSE,FALSE,FALSE,25,2,TRUE,FALSE,15,3,FALSE,0.2,FALSE,FALSE,4,1,0,0,1,1,1,1,FALSE,TRUE,H
FALSE,TRUE,2412,168,1,238,0.0986733,FALSE,FALSE,FALSE,51,2,TRUE,FALSE,17,3,FALSE,0.176470588,TRUE,FALSE,4,3,2,1,1,0,3,0,FALSE,FALSE,H
FALSE,TRUE,13420,517,26,1004,0.074813711,FALSE,FALSE,FALSE,32,2,TRUE,FALSE,27,5,FALSE,0.185185185,FALSE,TRUE,3,11,23,12,12,0,35,0,TRUE,FALSE,H
FALSE,TRUE,9486,311,12,630,0.066413662,FALSE,FALSE,FALSE,37,3,TRUE,FALSE,33,6,FALSE,0.181818182,FALSE,TRUE,3,4,6,4,3,0,9,0,FALSE,FALSE,H
FALSE,TRUE,93211,1142,0,1217,0.013056399,FALSE,FALSE,FALSE,57,4,TRUE,FALSE,23,3,FALSE,0.130434783,FALSE,FALSE,3,2,0,0,2,0,2,0,FALSE,FALSE,H
FALSE,TRUE,6966,276,5,637,0.091444157,FALSE,FALSE,FALSE,34,3,TRUE,FALSE,19,2,FALSE,0.105263158,FALSE,FALSE,4,4,2,2,6,0,8,0,FALSE,FALSE,H
FALSE,TRUE,5710,206,25,399,0.069877408,FALSE,FALSE,FALSE,19,2,TRUE,FALSE,33,6,FALSE,0.181818182,FALSE,TRUE,3,6,6,1,7,0,13,0,FALSE,FALSE,H
FALSE,TRUE,4623,252,8,324,0.070084361,FALSE,FALSE,FALSE,31,3,TRUE,FALSE,25,5,FALSE,0.2,FALSE,FALSE,2,4,2,0,0,0,2,0,FALSE,FALSE,H
FALSE,TRUE,9934,430,23,932,0.093819207,FALSE,FALSE,FALSE,43,2,TRUE,FALSE,34,5,FALSE,0.147058824,TRUE,FALSE,4,9,24,13,10,0,34,0,FALSE,FALSE,H
FALSE,TRUE,3264,181,4,333,0.102022059,FALSE,FALSE,FALSE,37,2,TRUE,FALSE,52,6,FALSE,0.115384615,FALSE,TRUE,2,3,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,TRUE,4930,181,13,315,0.063894523,FALSE,FALSE,FALSE,35,3,TRUE,FALSE,26,5,FALSE,0.192307692,FALSE,FALSE,4,6,7,3,4,0,11,0,FALSE,FALSE,H
FALSE,TRUE,3346,160,7,249,0.074417215,FALSE,FALSE,FALSE,36,4,TRUE,FALSE,27,4,FALSE,0.148148148,FALSE,FALSE,2,4,3,0,1,0,4,0,FALSE,FALSE,H
TRUE,TRUE,19698,720,7,1755,0.08909534,FALSE,FALSE,FALSE,47,3,TRUE,FALSE,24,3,FALSE,0.125,FALSE,FALSE,2,8,6,0,1,0,7,0,FALSE,FALSE,H
FALSE,TRUE,117,18,4,18,0.153846154,FALSE,FALSE,FALSE,40,3,TRUE,FALSE,4,1,FALSE,0.25,FALSE,FALSE,2,3,1,0,0,0,1,0,FALSE,FALSE,H
FALSE,TRUE,129,18,4,18,0.139534884,FALSE,FALSE,FALSE,44,3,TRUE,FALSE,25,3,FALSE,0.12,FALSE,FALSE,3,3,1,0,0,0,1,0,FALSE,FALSE,H
FALSE,TRUE,1116,85,13,151,0.135304659,TRUE,FALSE,FALSE,25,2,TRUE,FALSE,7,1,FALSE,0.142857143,FALSE,TRUE,2,4,2,1,1,0,3,0,FALSE,FALSE,H
FALSE,TRUE,1291,97,17,174,0.134779241,FALSE,FALSE,FALSE,25,2,TRUE,FALSE,25,4,FALSE,0.16,FALSE,TRUE,2,4,2,1,1,0,3,0,FALSE,FALSE,H
FALSE,TRUE,4960,172,12,463,0.093346774,FALSE,FALSE,FALSE,18,2,TRUE,FALSE,53,10,FALSE,0.188679245,FALSE,FALSE,5,8,9,2,6,0,15,0,FALSE,FALSE,H
FALSE,TRUE,10640,462,34,1031,0.096898496,FALSE,FALSE,FALSE,42,2,TRUE,FALSE,62,7,FALSE,0.112903226,TRUE,FALSE,4,10,23,13,11,0,34,0,FALSE,FALSE,H
FALSE,TRUE,2647,194,7,295,0.111446921,FALSE,FALSE,FALSE,41,3,TRUE,FALSE,18,3,FALSE,0.166666667,TRUE,TRUE,4,2,1,0,1,0,2,0,TRUE,FALSE,H
FALSE,TRUE,17612,257,2,1351,0.076709062,FALSE,FALSE,FALSE,62,3,TRUE,FALSE,25,5,FALSE,0.2,FALSE,TRUE,1,3,2,0,0,0,2,0,FALSE,FALSE,H
FALSE,TRUE,2360,154,2,253,0.10720339,FALSE,FALSE,FALSE,23,2,TRUE,FALSE,27,6,FALSE,0.222222222,FALSE,FALSE,3,4,3,0,1,0,4,0,FALSE,FALSE,H
FALSE,TRUE,4173,202,13,555,0.132997843,FALSE,FALSE,FALSE,35,3,TRUE,FALSE,23,4,FALSE,0.173913043,FALSE,FALSE,3,5,4,0,2,0,6,0,FALSE,FALSE,H
FALSE,TRUE,109,17,3,17,0.155963303,FALSE,FALSE,FALSE,28,3,TRUE,FALSE,18,3,FALSE,0.166666667,FALSE,FALSE,2,3,1,0,0,0,1,0,FALSE,FALSE,H
FALSE,TRUE,1659,130,9,232,0.139843279,FALSE,FALSE,FALSE,47,6,TRUE,FALSE,27,4,TRUE,0.148148148,FALSE,FALSE,1,4,2,0,1,0,3,0,FALSE,FALSE,H
FALSE,TRUE,24179,463,16,871,0.036022995,FALSE,FALSE,FALSE,26,2,TRUE,FALSE,39,8,FALSE,0.205128205,FALSE,FALSE,3,10,15,3,5,0,20,0,FALSE,FALSE,H
FALSE,TRUE,2173,119,8,312,0.143580304,FALSE,FALSE,TRUE,43,3,TRUE,FALSE,17,2,FALSE,0.117647059,FALSE,TRUE,2,3,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,TRUE,3684,180,4,429,0.116449511,FALSE,FALSE,FALSE,24,2,TRUE,FALSE,56,8,FALSE,0.142857143,FALSE,TRUE,1,3,1,0,1,0,2,0,TRUE,FALSE,H
FALSE,TRUE,6615,249,12,546,0.082539683,FALSE,FALSE,TRUE,52,4,TRUE,FALSE,47,6,FALSE,0.127659574,FALSE,TRUE,0,3,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,FALSE,163,25,2,31,0.190184049,FALSE,FALSE,TRUE,55,3,TRUE,FALSE,15,3,FALSE,0.2,FALSE,FALSE,3,3,1,0,0,0,1,0,FALSE,FALSE,H
FALSE,TRUE,884,75,0,148,0.167420814,FALSE,FALSE,FALSE,46,3,TRUE,FALSE,19,4,FALSE,0.210526316,FALSE,FALSE,2,3,1,0,1,0,2,0,FALSE,FALSE,H
FALSE,TRUE,848,68,6,99,0.116745283,FALSE,FALSE,FALSE,34,3,TRUE,FALSE,19,3,FALSE,0.157894737,FALSE,FALSE,3,4,2,0,0,0,2,0,FALSE,FALSE,H
